134,BVAR,"R$ 1.552,73","4,50",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BVAR11
135,BPML,"R$ 98,00","1,02",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BPML11
136,BTRA,"R$ 58,75","0,30",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BTRA11
137,CXCI,"R$ 84,09","0,75",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CXCI11
138,CXCE,"R$ 42,62","0,42",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CXCE11
139,CXTL,"R$ 242,29","2,06",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CXTL11
140,CTXT,"R$ 10,49","0,01",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CTXT11
141,CJFI,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CJFI11
142,FLMA,"R$ 143,99","0,78",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FLMA11
143,EDFO,"R$ 229,98","1,79",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/EDFO11
144,EURO,"R$ 250,00","1,88",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/EURO11
145,ABCP,"R$ 77,30","0,50",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ABCP11
146,GTWR,"R$ 85,29","0,79",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/GTWR11
147,HBTT,"R$ 1.055,00","16,58",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HBTT11
148,HUCG,"R$ 110,00","0,22",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HUCG11
149,HUSC,"R$ 113,02","0,85",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HUSC11
150,FIIB,"R$ 530,00","3,45",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FIIB11
151,FINF,"R$ 0,00","0,28",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FINF11
152,FMOF,"R$ 71,52","0,46",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FMOF11
153,OULG,"R$ 28,10","0,30",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/OULG11
154,PABY,"R$ 14,47",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/PABY11
155,FPNG,"R$ 85,07","0,50",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FPNG11
156,ESTQ,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ESTQ11
157,VPSI,"R$ 0,00","0,17",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VPSI11
158,FPAB,"R$ 195,00","0,90",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FPAB11
159,RBRY,"R$ 100,18","1,01",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RBRY11
160,RBRP,"R$ 59,55","0,35",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RBRP11
161,RCRB,"R$ 160,20","0,93",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RCRB11
162,RBED,"R$ 143,71","1,33",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RBED11
163,RBVA,"R$ 112,86","1,00",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RBVA11
164,RNGO,"R$ 49,47","0,38",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RNGO11
165,FISC,"R$ 74,00","0,35",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FISC11
166,SCPF,"R$ 3,91","0,05",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/SCPF11
167,SHPH,"R$ 883,00","4,30",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/SHPH11
168,TGAR,"R$ 126,93","1,33",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/TGAR11
169,ONEF,"R$ 200,03","0,03",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ONEF11
170,BARI,"R$ 85,24","0,90",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BARI11
171,VERE,"R$ 233,49","3,50",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VERE11
172,FVPQ,"R$ 99,01","1,04",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FVPQ11
173,FIVN,"R$ 2,97",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FIVN11
174,VTLT,"R$ 97,59","0,93",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VTLT11
175,VSHO,"R$ 81,00","0,72",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VSHO11
176,IDFI,"R$ 17,60","0,17",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/IDFI11
177,PLCR,"R$ 89,88","0,80",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/PLCR11
